satisfaction,evaluation,averageMonthlyHours,yearsAtCompany,turnover
38.0,53.0,266,3,1
80.0,86.0,252,6,1
11.0,88.0,289,4,1
72.0,87.0,275,5,1
37.0,52.0,292,3,1
41.0,50.0,271,3,1
10.0,77.0,268,4,1
92.0,85.0,274,5,1
89.0,100.0,269,5,1
42.0,53.0,280,3,1
45.0,54.0,274,3,1
11.0,81.0,280,4,1
84.0,92.0,279,5,1
41.0,55.0,286,3,1
36.0,56.0,270,3,1
38.0,54.0,291,3,1
45.0,47.0,258,3,1
78.0,99.0,287,6,1
45.0,51.0,277,3,1
76.0,89.0,290,5,1
11.0,83.0,270,4,1
38.0,55.0,265,3,1
9.0,95.0,262,4,1
46.0,57.0,265,3,1
40.0,53.0,275,3,1
89.0,92.0,274,5,1
82.0,87.0,276,5,1
40.0,49.0,278,3,1
41.0,46.0,283,3,1
38.0,50.0,281,3,1
9.0,62.0,259,4,1
45.0,57.0,284,3,1
40.0,51.0,289,3,1
45.0,55.0,280,3,1
84.0,87.0,261,6,1
10.0,94.0,299,4,1
38.0,46.0,276,3,1
45.0,50.0,270,3,1
11.0,89.0,279,4,1
41.0,54.0,273,3,1
87.0,88.0,288,5,1
45.0,48.0,277,3,1
40.0,46.0,269,3,1
10.0,80.0,264,4,1
9.0,89.0,282,4,1
84.0,74.0,265,4,1
40.0,55.0,294,3,1
57.0,70.0,281,6,1
40.0,54.0,286,3,1
43.0,47.0,252,3,1
13.0,78.0,270,2,1
44.0,55.0,276,3,1
38.0,55.0,276,3,1
39.0,54.0,265,3,1
10.0,92.0,277,4,1
37.0,46.0,277,3,1
11.0,94.0,271,4,1
10.0,81.0,265,4,1
38.0,54.0,262,3,1
85.0,100.0,289,5,1
85.0,91.0,260,5,1
11.0,93.0,275,4,1
10.0,95.0,263,5,1
36.0,56.0,283,3,1
11.0,94.0,265,4,1
81.0,70.0,263,4,1
43.0,54.0,268,3,1
90.0,98.0,303,6,1
76.0,86.0,289,5,1
43.0,50.0,254,3,1
74.0,99.0,266,3,1
9.0,77.0,287,4,1
45.0,49.0,271,3,1
9.0,87.0,281,4,1
11.0,97.0,283,4,1
11.0,79.0,284,4,1
10.0,83.0,275,4,1
40.0,54.0,269,3,1
43.0,56.0,288,3,1
39.0,56.0,268,3,1
45.0,54.0,275,3,1
38.0,49.0,264,3,1
79.0,59.0,277,3,1
84.0,85.0,284,6,1
11.0,77.0,258,4,1
11.0,87.0,276,4,1
17.0,84.0,274,3,1
44.0,45.0,284,3,1
37.0,57.0,281,3,1
10.0,79.0,279,4,1
40.0,50.0,273,3,1
89.0,100.0,268,5,1
42.0,48.0,294,3,1
46.0,55.0,295,3,1
9.0,83.0,274,4,1
37.0,51.0,272,3,1
10.0,77.0,300,4,1
10.0,84.0,259,4,1
11.0,97.0,274,4,1
90.0,100.0,272,6,1
38.0,52.0,279,3,1
36.0,52.0,276,3,1
42.0,46.0,286,3,1
9.0,94.0,265,4,1
43.0,52.0,269,3,1
24.0,46.0,266,5,1
91.0,100.0,258,5,1
44.0,50.0,276,3,1
71.0,87.0,295,4,1
40.0,49.0,266,3,1
43.0,47.0,271,3,1
9.0,85.0,279,4,1
43.0,52.0,260,3,1
90.0,96.0,273,5,1
84.0,100.0,286,5,1
37.0,48.0,268,3,1
86.0,68.0,280,2,1
11.0,84.0,281,4,1
37.0,57.0,280,3,1
40.0,46.0,290,3,1
14.0,62.0,273,4,1
40.0,46.0,271,3,1
75.0,100.0,270,6,1
11.0,84.0,276,5,1
46.0,49.0,273,3,1
11.0,92.0,273,4,1
38.0,49.0,276,3,1
70.0,89.0,264,5,1
9.0,82.0,277,4,1
37.0,45.0,283,3,1
10.0,83.0,259,4,1
38.0,57.0,291,3,1
90.0,100.0,287,5,1
44.0,51.0,275,3,1
36.0,50.0,277,3,1
31.0,84.0,275,5,1
10.0,84.0,271,4,1
42.0,48.0,280,3,1
74.0,100.0,288,5,1
73.0,87.0,283,5,1
9.0,96.0,263,4,1
45.0,53.0,280,3,1
11.0,80.0,270,4,1
37.0,47.0,279,3,1
84.0,99.0,277,5,1
41.0,46.0,282,3,1
76.0,92.0,292,5,1
11.0,87.0,265,4,1
84.0,88.0,265,5,1
39.0,50.0,279,3,1
11.0,91.0,270,4,1
45.0,56.0,266,3,1
37.0,52.0,279,3,1
40.0,52.0,278,3,1
39.0,48.0,279,3,1
11.0,80.0,274,4,1
83.0,100.0,282,5,1
11.0,92.0,286,4,1
39.0,50.0,273,3,1
